,class,count,sum,aspect,elevation_below,year,state,percent_snow_cover,km2_snow,km2_all
5,180_1900,3965,0,180,1900,2021,Kärnten,0.0,0.0,39.650000000000006
6,0_2100,2294,0,0,2100,2021,Kärnten,0.0,0.0,22.940000000000005
7,90_2200,1969,1,90,2200,2021,Kärnten,0.0005078720162519045,0.010000000000000002,19.690000000000005
8,90_4500,0,0,90,4500,2021,Kärnten,,0.0,0.0
9,315_2300,1413,1,315,2300,2021,Kärnten,0.0007077140835102619,0.010000000000000002,14.130000000000003
10,270_2500,1068,1,270,2500,2021,Kärnten,0.0009363295880149813,0.010000000000000002,10.680000000000001
11,225_3200,91,44,225,3200,2021,Kärnten,0.4835164835164835,0.44000000000000006,0.9100000000000001
12,270_4000,0,0,270,4000,2021,Kärnten,,0.0,0.0
13,225_2900,395,59,225,2900,2021,Kärnten,0.14936708860759493,0.5900000000000001,3.9500000000000006
14,180_2300,2245,0,180,2300,2021,Kärnten,0.0,0.0,22.450000000000003
15,45_3600,8,1,45,3600,2021,Kärnten,0.125,0.010000000000000002,0.08000000000000002
16,135_1500,84793,0,135,1500,2021,Kärnten,0.0,0.0,847.9300000000002
17,135_3800,0,0,135,3800,2021,Kärnten,,0.0,0.0
18,0_1800,3819,0,0,1800,2021,Kärnten,0.0,0.0,38.190000000000005
19,90_1900,3435,2,90,1900,2021,Kärnten,0.0005822416302765648,0.020000000000000004,34.35000000000001
20,135_3000,309,150,135,3000,2021,Kärnten,0.4854368932038835,1.5000000000000002,3.0900000000000007
21,0_3300,37,14,0,3300,2021,Kärnten,0.3783783783783784,0.14,0.37000000000000005
22,270_3700,1,0,270,3700,2021,Kärnten,0.0,0.0,0.010000000000000002
23,90_3400,15,11,90,3400,2021,Kärnten,0.7333333333333333,0.11000000000000001,0.15000000000000002
24,315_3500,0,0,315,3500,2021,Kärnten,,0.0,0.0
25,225_2100,2705,0,225,2100,2021,Kärnten,0.0,0.0,27.050000000000004
26,225_3900,0,0,225,3900,2021,Kärnten,,0.0,0.0
